Name,Lat,Lon,SEIFA
Guyra,-30.14430412128263,152.0301561255465,18
Greater Hume,-35.79850752290889,146.8471788343192,63
Liverpool Plains,-31.61547490223988,150.4200034991793,13
Coolamon,-34.71372117065576,147.1370547734663,52
Walcha,-31.16388137968437,151.7845134368549,55
Uralla,-30.50766693176689,151.3123622458891,62
Young,-34.24322820458093,148.190673432607,28
Corowa,-35.82765929056429,146.262869389694,38
Kiama,-34.71061757823089,150.8001980851291,84
Bland,-33.91968002552059,146.9271721417222,51
Carrathool,-33.59852295736388,145.4252738979882,50
Cootamundra,-34.61939673486084,148.0204235942993,21
Lithgow,-33.27768493590731,150.1789364790297,15
Central Darling,-32.32039241478682,142.8587588059448,2
Unincorporated NSW,-30.977709,141.554632,76
Broken Hill,-31.94436096354775,141.4785113137489,6
Lockhart,-35.34001028819912,146.7935409452007,67
Berrigan,-35.73437033784731,145.711211130159,32
Tumbarumba,-36.03023763405407,148.1398502447177,39
Conargo,-35.26801384516898,145.2109358321396,82
Murray,-35.67473701083454,144.5685812243958,56
Hay,-34.28195382124073,144.9191338698848,14
Junee,-34.79621019202284,147.6304398269909,23
Wakool,-35.41948921617166,144.2037438317063,54
Lachlan,-32.92010071114945,146.9898265775046,26
Orange,-33.30583906678913,149.1229503501653,59
Blayney,-33.59514069943936,149.1305016157037,60
Temora,-34.38795710727354,147.4836643502258,30
Urana,-35.25205037910474,146.1403193966395,20
Narrandera,-34.68526626371621,146.7217722887027,12
Parkes,-32.91417180557465,148.0251377423062,24
Gundagai,-34.98623490068798,148.1344794624109,42
Strathfield,-33.88202729771584,151.075620263478,84
Jerilderie,-35.21887244855405,145.7880571293377,66
Eurobodalla,-35.94015781182687,149.9253693329989,35
Murrumbidgee,-34.66018810792868,145.4408805901799,17
Forbes,-33.45118717190551,147.8647479590632,29
Yass Valley,-34.90755532303846,148.7473861752055,88
Cowra,-33.79639175001077,148.7179498464928,16
Goulburn Mulwaree,-34.87608949800971,149.8132715693672,40
Oberon,-33.88326677857648,149.8113800239206,52
Gilgandra,-31.58334192404902,148.7036409184952,11
Queanbeyan,-35.4431795419529,149.1816055961481,86
Narromine,-32.22608633991383,148.0655128090806,19
Weddin,-33.87191453528168,148.011255243866,34
Wellington,-32.55391403128751,148.9738556789574,7
Warrumbungle,-31.49448664027536,149.4537792192575,10
Bombala,-36.89405377158288,149.2315053174508,30
Boorowa,-34.25797730215857,148.8423666002042,49
Cobar,-31.8681207112734,145.4829758894641,39
Harden,-34.61294711696161,148.406529525746,23
Balranald,-33.94992593125368,143.6121872343296,22
Walgett,-29.81667934566871,148.1944519868374,2
Wentworth,-33.69126835917061,142.336755278834,43
Upper Lachlan,-34.4177415280844,149.4557088950801,74
Warren,-31.47540036828089,147.7285309905219,32
